search.year,ID,Authors,Ttitle,Journal,Vol,DOI,Year
2016,47,"Lehmann, D.; Mfune, J. K. E.; Gewers, E.; Brain, C.; Voigt, C. C.",Individual variation of isotopic niches in grazing and browsing desert ungulates,OECOLOGIA,179,10.1007/s00442-015-3335-1,2015
2016,48,"Romero, Gustavo Q.; Goncalves-Souza, Thiago; Vieira, Camila; Koricheva, Julia",Ecosystem engineering effects on species diversity across ecosystems: a meta-analysis,BIOLOGICAL REVIEWS,90,10.1111/brv.12138,2015
2016,49,"Agarwar, Ishan; Goyal, Surendra P.; Qureshi, Qamar",Lizards of the Thar Desert - Resource partitioning and community composition,JOURNAL OF ARID ENVIRONMENTS,118,10.1016/j.jaridenv.2015.03.003,2015
2016,50,"Carvajal, Danny E.; Loayza, Andrea P.; Lopez, Ramiro P.; Toro, Pablo J.; Squeo, Francisco A.",Growth and early seedling survival of four Atacama Desert shrub species under experimental light and water availability regimes,REVISTA CHILENA DE HISTORIA NATURAL,87,10.1186/s40693-014-0028-9,2014
2016,51,"Ignace, Danielle D.; Chesson, Peter",Removing an invader: evidence for forces reassembling a Chihuahuan Desert ecosystem,ECOLOGY,95,,2014
2016,52,"Kohl, Kevin D.; Weiss, Robert B.; Cox, James; Dale, Colin; Dearing, M. Denise",Gut microbes of mammalian herbivores facilitate intake of plant toxins,ECOLOGY LETTERS,17,10.1111/ele.12329,2014
2016,53,"Jara-Arancio, Paola; Arroyo, Mary T. K.; Guerrero, Pablo C.; Hinojosa, Luis F.; Arancio, Gina; Mendez, Marco A.",Phylogenetic perspectives on biome shifts in Leucocoryne (Alliaceae) in relation to climatic niche evolution in western South America,JOURNAL OF BIOGEOGRAPHY,41,10.1111/jbi.12186,2014
2016,54,"Butterfield, Bradley J.; Callaway, Ragan M.",A functional comparative approach to facilitation and its context dependence,FUNCTIONAL ECOLOGY,27,10.1111/1365-2435.12019,2013
2016,55,"Peterson, Megan L.; Rice, Kevin J.; Sexton, Jason P.",Niche partitioning between close relatives suggests trade-offs between adaptation to local environments and competition,ECOLOGY AND EVOLUTION,3,10.1002/ece3.462,2013
2016,56,"Hao, Guang-You; Lucero, Mary E.; Sanderson, Stewart C.; Zacharias, Elizabeth H.; Holbrook, N. Michele",Polyploidy enhances the occupation of heterogeneous environments through hydraulic related trade-offs in Atriplex canescens (Chenopodiaceae),NEW PHYTOLOGIST,197,10.1111/nph.12051,2013
